:START_ID,:END_ID,:TYPE,relation_id,doc_id,chunk_id,confidence:float,evidence_text,expert_status
tech_multimodal_situation,hazard_earthquake,APPLIES_TO,b31244eb50634a12,case_afghanistan_earthquake_2023,case_afghanistan_earthquake_2023_c000,0.72,"# Afghanistan earthquake 2023 disaster case

该灾害案例来源为“Afghanistan earthquake 2023 disaster case”，来源机构或平台为 ReliefWeb。在地震灾害AI防灾减灾关键技术图谱中，该来源被整理为 地震 专题证据，主要支撑 地震多模态灾情理解 技术社区，并服务 震前监测感知 场景。

从可抽取证据看，地震多模态灾情理解 依赖 众源文本，常结合 Transformer，用于完成 灾情态势摘要。该证据可与 阿富汗地震 形成案例验证关系，并受 数据共享与隐私合规 的治理要求约束。

面向 GraphRAG 索引，可形成“地震多模态灾情理解 -> 地震 -> 震前监测感知 -> 灾情态势摘要 -> 众源文本 -> Transform",pending
tech_graphrag_evidence,hazard_earthquake,APPLIES_TO,79f51a5680c1580d,case_afghanistan_earthquake_2023,case_afghanistan_earthquake_2023_c000,0.72,"# Afghanistan earthquake 2023 disaster case

该灾害案例来源为“Afghanistan earthquake 2023 disaster case”，来源机构或平台为 ReliefWeb。在地震灾害AI防灾减灾关键技术图谱中，该来源被整理为 地震 专题证据，主要支撑 地震多模态灾情理解 技术社区，并服务 震前监测感知 场景。

从可抽取证据看，地震多模态灾情理解 依赖 众源文本，常结合 Transformer，用于完成 灾情态势摘要。该证据可与 阿富汗地震 形成案例验证关系，并受 数据共享与隐私合规 的治理要求约束。

面向 GraphRAG 索引，可形成“地震多模态灾情理解 -> 地震 -> 震前监测感知 -> 灾情态势摘要 -> 众源文本 -> Transform",pending
tech_multimodal_situation,stage_seismic_monitoring,SERVES_STAGE,948b8e2695ed3278,case_afghanistan_earthquake_2023,case_afghanistan_earthquake_2023_c000,0.68,"# Afghanistan earthquake 2023 disaster case

该灾害案例来源为“Afghanistan earthquake 2023 disaster case”，来源机构或平台为 ReliefWeb。在地震灾害AI防灾减灾关键技术图谱中，该来源被整理为 地震 专题证据，主要支撑 地震多模态灾情理解 技术社区，并服务 震前监测感知 场景。

从可抽取证据看，地震多模态灾情理解 依赖 众源文本，常结合 Transformer，用于完成 灾情态势摘要。该证据可与 阿富汗地震 形成案例验证关系，并受 数据共享与隐私合规 的治理要求约束。

面向 GraphRAG 索引，可形成“地震多模态灾情理解 -> 地震 -> 震前监测感知 -> 灾情态势摘要 -> 众源文本 -> Transform",pending
tech_graphrag_evidence,stage_seismic_monitoring,SERVES_STAGE,2363ef646f2659d6,case_afghanistan_earthquake_2023,case_afghanistan_earthquake_2023_c000,0.68,"# Afghanistan earthquake 2023 disaster case

该灾害案例来源为“Afghanistan earthquake 2023 disaster case”，来源机构或平台为 ReliefWeb。在地震灾害AI防灾减灾关键技术图谱中，该来源被整理为 地震 专题证据，主要支撑 地震多模态灾情理解 技术社区，并服务 震前监测感知 场景。

从可抽取证据看，地震多模态灾情理解 依赖 众源文本，常结合 Transformer，用于完成 灾情态势摘要。该证据可与 阿富汗地震 形成案例验证关系，并受 数据共享与隐私合规 的治理要求约束。

面向 GraphRAG 索引，可形成“地震多模态灾情理解 -> 地震 -> 震前监测感知 -> 灾情态势摘要 -> 众源文本 -> Transform",pending
tech_multimodal_situation,task_situation_summary,SOLVES,32565c0c3b206382,case_afghanistan_earthquake_2023,case_afghanistan_earthquake_2023_c000,0.7,"# Afghanistan earthquake 2023 disaster case

该灾害案例来源为“Afghanistan earthquake 2023 disaster case”，来源机构或平台为 ReliefWeb。在地震灾害AI防灾减灾关键技术图谱中，该来源被整理为 地震 专题证据，主要支撑 地震多模态灾情理解 技术社区，并服务 震前监测感知 场景。

从可抽取证据看，地震多模态灾情理解 依赖 众源文本，常结合 Transformer，用于完成 灾情态势摘要。该证据可与 阿富汗地震 形成案例验证关系，并受 数据共享与隐私合规 的治理要求约束。

面向 GraphRAG 索引，可形成“地震多模态灾情理解 -> 地震 -> 震前监测感知 -> 灾情态势摘要 -> 众源文本 -> Transform",pending
tech_graphrag_evidence,task_situation_summary,SOLVES,2584a9f3a3d13d6f,case_afghanistan_earthquake_2023,case_afghanistan_earthquake_2023_c000,0.7,"# Afghanistan earthquake 2023 disaster case

该灾害案例来源为“Afghanistan earthquake 2023 disaster case”，来源机构或平台为 ReliefWeb。在地震灾害AI防灾减灾关键技术图谱中，该来源被整理为 地震 专题证据，主要支撑 地震多模态灾情理解 技术社区，并服务 震前监测感知 场景。

从可抽取证据看，地震多模态灾情理解 依赖 众源文本，常结合 Transformer，用于完成 灾情态势摘要。该证据可与 阿富汗地震 形成案例验证关系，并受 数据共享与隐私合规 的治理要求约束。

面向 GraphRAG 索引，可形成“地震多模态灾情理解 -> 地震 -> 震前监测感知 -> 灾情态势摘要 -> 众源文本 -> Transform",pending
tech_multimodal_situation,data_social_media,DEPENDS_ON,2d0adafdcfda8ad5,case_afghanistan_earthquake_2023,case_afghanistan_earthquake_2023_c000,0.66,"# Afghanistan earthquake 2023 disaster case

该灾害案例来源为“Afghanistan earthquake 2023 disaster case”，来源机构或平台为 ReliefWeb。在地震灾害AI防灾减灾关键技术图谱中，该来源被整理为 地震 专题证据，主要支撑 地震多模态灾情理解 技术社区，并服务 震前监测感知 场景。

从可抽取证据看，地震多模态灾情理解 依赖 众源文本，常结合 Transformer，用于完成 灾情态势摘要。该证据可与 阿富汗地震 形成案例验证关系，并受 数据共享与隐私合规 的治理要求约束。

面向 GraphRAG 索引，可形成“地震多模态灾情理解 -> 地震 -> 震前监测感知 -> 灾情态势摘要 -> 众源文本 -> Transform",pending
tech_graphrag_evidence,data_social_media,DEPENDS_ON,85eee34f6a10b505,case_afghanistan_earthquake_2023,case_afghanistan_earthquake_2023_c000,0.66,"# Afghanistan earthquake 2023 disaster case

该灾害案例来源为“Afghanistan earthquake 2023 disaster case”，来源机构或平台为 ReliefWeb。在地震灾害AI防灾减灾关键技术图谱中，该来源被整理为 地震 专题证据，主要支撑 地震多模态灾情理解 技术社区，并服务 震前监测感知 场景。

从可抽取证据看，地震多模态灾情理解 依赖 众源文本，常结合 Transformer，用于完成 灾情态势摘要。该证据可与 阿富汗地震 形成案例验证关系，并受 数据共享与隐私合规 的治理要求约束。

面向 GraphRAG 索引，可形成“地震多模态灾情理解 -> 地震 -> 震前监测感知 -> 灾情态势摘要 -> 众源文本 -> Transform",pending
tech_multimodal_situation,model_transformer,USES_MODEL,b396f05da10bcabc,case_afghanistan_earthquake_2023,case_afghanistan_earthquake_2023_c000,0.64,"# Afghanistan earthquake 2023 disaster case

该灾害案例来源为“Afghanistan earthquake 2023 disaster case”，来源机构或平台为 ReliefWeb。在地震灾害AI防灾减灾关键技术图谱中，该来源被整理为 地震 专题证据，主要支撑 地震多模态灾情理解 技术社区，并服务 震前监测感知 场景。

从可抽取证据看，地震多模态灾情理解 依赖 众源文本，常结合 Transformer，用于完成 灾情态势摘要。该证据可与 阿富汗地震 形成案例验证关系，并受 数据共享与隐私合规 的治理要求约束。

面向 GraphRAG 索引，可形成“地震多模态灾情理解 -> 地震 -> 震前监测感知 -> 灾情态势摘要 -> 众源文本 -> Transform",pending
tech_graphrag_evidence,model_transformer,USES_MODEL,22a9e9958aad317e,case_afghanistan_earthquake_2023,case_afghanistan_earthquake_2023_c000,0.64,"# Afghanistan earthquake 2023 disaster case

该灾害案例来源为“Afghanistan earthquake 2023 disaster case”，来源机构或平台为 ReliefWeb。在地震灾害AI防灾减灾关键技术图谱中，该来源被整理为 地震 专题证据，主要支撑 地震多模态灾情理解 技术社区，并服务 震前监测感知 场景。

从可抽取证据看，地震多模态灾情理解 依赖 众源文本，常结合 Transformer，用于完成 灾情态势摘要。该证据可与 阿富汗地震 形成案例验证关系，并受 数据共享与隐私合规 的治理要求约束。

面向 GraphRAG 索引，可形成“地震多模态灾情理解 -> 地震 -> 震前监测感知 -> 灾情态势摘要 -> 众源文本 -> Transform",pending
