review_item_id,item_type,priority,reason,doc_id,chunk_id,source,relation_type,target,confidence,suggested_decision
dfe6d6761109e332,relation,high,案例验证关系直接影响技术成熟度，需要优先人工确认,case_afghanistan_earthquake_2023,case_afghanistan_earthquake_2023_c000,地震多模态灾情理解,VALIDATED_IN,阿富汗地震,0.62,pending_manual_review
c07cdd479a5ded58,relation,high,案例验证关系直接影响技术成熟度，需要优先人工确认,case_afghanistan_earthquake_2023,case_afghanistan_earthquake_2023_c000,地震证据图谱GraphRAG,VALIDATED_IN,阿富汗地震,0.62,pending_manual_review
ae840f8499caa072,relation,high,案例验证关系直接影响技术成熟度，需要优先人工确认,case_haiti_earthquake,case_haiti_earthquake_c000,地震证据图谱GraphRAG,VALIDATED_IN,海地地震,0.62,pending_manual_review
a69d5ed49d6d838c,relation,high,案例验证关系直接影响技术成熟度，需要优先人工确认,case_haiti_earthquake,case_haiti_earthquake_c000,地震应急辅助决策,VALIDATED_IN,海地地震,0.62,pending_manual_review
6fe890a21aeef50b,relation,high,案例验证关系直接影响技术成熟度，需要优先人工确认,case_morocco_earthquake,case_morocco_earthquake_c000,地震证据图谱GraphRAG,VALIDATED_IN,摩洛哥地震,0.62,pending_manual_review
209ca78e47ffe1a8,relation,high,案例验证关系直接影响技术成熟度，需要优先人工确认,case_morocco_earthquake,case_morocco_earthquake_c000,生命线震损风险传播GNN,VALIDATED_IN,摩洛哥地震,0.62,pending_manual_review
ef101e6aa8ed3413,relation,high,案例验证关系直接影响技术成熟度，需要优先人工确认,case_nepal_earthquake_pdna,case_nepal_earthquake_pdna_c000,震后救援调度优化,VALIDATED_IN,尼泊尔地震,0.62,pending_manual_review
20a8bdc1b1572401,relation,high,案例验证关系直接影响技术成熟度，需要优先人工确认,case_nepal_earthquake_pdna,case_nepal_earthquake_pdna_c000,地震证据图谱GraphRAG,VALIDATED_IN,尼泊尔地震,0.62,pending_manual_review
d131a1634771cd30,relation,high,案例验证关系直接影响技术成熟度，需要优先人工确认,case_noto_earthquake,case_noto_earthquake_c000,地震早期预警,VALIDATED_IN,日本能登半岛地震,0.62,pending_manual_review
7184cfe6d9f25945,relation,high,案例验证关系直接影响技术成熟度，需要优先人工确认,case_noto_earthquake,case_noto_earthquake_c000,地震早期预警,VALIDATED_IN,ShakeAlert地震预警案例,0.62,pending_manual_review
7f98cdcb71a61cc3,relation,high,案例验证关系直接影响技术成熟度，需要优先人工确认,case_noto_earthquake,case_noto_earthquake_c000,地震证据图谱GraphRAG,VALIDATED_IN,日本能登半岛地震,0.62,pending_manual_review
5d8bed7803c6a0c7,relation,high,案例验证关系直接影响技术成熟度，需要优先人工确认,case_noto_earthquake,case_noto_earthquake_c000,地震证据图谱GraphRAG,VALIDATED_IN,ShakeAlert地震预警案例,0.62,pending_manual_review
dca2de697d40ec2a,relation,high,案例验证关系直接影响技术成熟度，需要优先人工确认,case_turkiye_rdna,case_turkiye_rdna_c000,地震证据图谱GraphRAG,VALIDATED_IN,土耳其叙利亚地震,0.62,pending_manual_review
1466a7f541c880be,relation,high,案例验证关系直接影响技术成熟度，需要优先人工确认,case_turkiye_rdna,case_turkiye_rdna_c000,震后灾情快速评估,VALIDATED_IN,土耳其叙利亚地震,0.62,pending_manual_review
3a152a397d970fe4,relation,high,案例验证关系直接影响技术成熟度，需要优先人工确认,case_turkiye_syria_earthquake,case_turkiye_syria_earthquake_c000,震后建筑损毁识别,VALIDATED_IN,土耳其叙利亚地震,0.62,pending_manual_review
a8786fedced5e2be,relation,high,案例验证关系直接影响技术成熟度，需要优先人工确认,case_turkiye_syria_earthquake,case_turkiye_syria_earthquake_c000,地震证据图谱GraphRAG,VALIDATED_IN,土耳其叙利亚地震,0.62,pending_manual_review
168dfe4f5431de1e,relation,high,案例验证关系直接影响技术成熟度，需要优先人工确认,paper_ai_emergency_qa,paper_ai_emergency_qa_c000,地震证据图谱GraphRAG,VALIDATED_IN,海地地震,0.62,pending_manual_review
3f023083e232756f,relation,high,案例验证关系直接影响技术成熟度，需要优先人工确认,paper_ai_emergency_qa,paper_ai_emergency_qa_c000,地震应急辅助决策,VALIDATED_IN,海地地震,0.62,pending_manual_review
38715330afdb0e0c,relation,high,案例验证关系直接影响技术成熟度，需要优先人工确认,paper_bddnet_damage,paper_bddnet_damage_c000,震后建筑损毁识别,VALIDATED_IN,土耳其叙利亚地震,0.62,pending_manual_review
8a93dcdb5830dd7a,relation,high,案例验证关系直接影响技术成熟度，需要优先人工确认,paper_bddnet_damage,paper_bddnet_damage_c000,地震证据图谱GraphRAG,VALIDATED_IN,土耳其叙利亚地震,0.62,pending_manual_review
9b8b5cf7f39d4e7d,relation,high,案例验证关系直接影响技术成熟度，需要优先人工确认,paper_lifeline_resilience,paper_lifeline_resilience_c000,地震证据图谱GraphRAG,VALIDATED_IN,摩洛哥地震,0.62,pending_manual_review
31559cfe7c9d453f,relation,high,案例验证关系直接影响技术成熟度，需要优先人工确认,paper_lifeline_resilience,paper_lifeline_resilience_c000,生命线震损风险传播GNN,VALIDATED_IN,摩洛哥地震,0.62,pending_manual_review
dba6b6090646f132,relation,high,案例验证关系直接影响技术成熟度，需要优先人工确认,paper_myshake_network,paper_myshake_network_c000,地震早期预警,VALIDATED_IN,MyShake地震预警案例,0.62,pending_manual_review
431e3b949e86e21f,relation,high,案例验证关系直接影响技术成熟度，需要优先人工确认,paper_myshake_network,paper_myshake_network_c000,地震早期预警,VALIDATED_IN,ShakeAlert地震预警案例,0.62,pending_manual_review
3db2ff199a6fa11f,relation,high,案例验证关系直接影响技术成熟度，需要优先人工确认,paper_myshake_network,paper_myshake_network_c000,地震证据图谱GraphRAG,VALIDATED_IN,MyShake地震预警案例,0.62,pending_manual_review
159c3db9d0bc992a,relation,high,案例验证关系直接影响技术成熟度，需要优先人工确认,paper_myshake_network,paper_myshake_network_c000,地震证据图谱GraphRAG,VALIDATED_IN,ShakeAlert地震预警案例,0.62,pending_manual_review
dd079cd974c93d43,relation,high,案例验证关系直接影响技术成熟度，需要优先人工确认,paper_seismic_risk_prediction,paper_seismic_risk_prediction_c000,地震证据图谱GraphRAG,VALIDATED_IN,日本能登半岛地震,0.62,pending_manual_review
6bb30901db8eb506,relation,high,案例验证关系直接影响技术成熟度，需要优先人工确认,paper_seismic_risk_prediction,paper_seismic_risk_prediction_c000,地震风险时空预测,VALIDATED_IN,日本能登半岛地震,0.62,pending_manual_review
440a9a6e0420619e,relation,high,案例验证关系直接影响技术成熟度，需要优先人工确认,paper_transfer_learning_damage,paper_transfer_learning_damage_c000,地震证据图谱GraphRAG,VALIDATED_IN,日本能登半岛地震,0.62,pending_manual_review
2c671da68d8e3176,relation,high,案例验证关系直接影响技术成熟度，需要优先人工确认,paper_transfer_learning_damage,paper_transfer_learning_damage_c000,遥感震损智能解译,VALIDATED_IN,日本能登半岛地震,0.62,pending_manual_review
95c282348b6a8fbc,relation,high,案例验证关系直接影响技术成熟度，需要优先人工确认,paper_xbd_damage_assessment,paper_xbd_damage_assessment_c000,地震证据图谱GraphRAG,VALIDATED_IN,日本能登半岛地震,0.62,pending_manual_review
6dd0f2426c2db860,relation,high,案例验证关系直接影响技术成熟度，需要优先人工确认,paper_xbd_damage_assessment,paper_xbd_damage_assessment_c000,遥感震损智能解译,VALIDATED_IN,日本能登半岛地震,0.62,pending_manual_review
d44a6e9a4e430699,relation,high,案例验证关系直接影响技术成熟度，需要优先人工确认,patent_disaster_recovery_prediction,patent_disaster_recovery_prediction_c000,震后救援调度优化,VALIDATED_IN,尼泊尔地震,0.62,pending_manual_review
4cc73514b5d78ccd,relation,high,案例验证关系直接影响技术成熟度，需要优先人工确认,patent_disaster_recovery_prediction,patent_disaster_recovery_prediction_c000,地震证据图谱GraphRAG,VALIDATED_IN,尼泊尔地震,0.62,pending_manual_review
051200c6136aec31,relation,high,案例验证关系直接影响技术成熟度，需要优先人工确认,patent_earthquake_prediction_device,patent_earthquake_prediction_device_c000,地震证据图谱GraphRAG,VALIDATED_IN,日本能登半岛地震,0.62,pending_manual_review
1cff312b29b40d12,relation,high,案例验证关系直接影响技术成熟度，需要优先人工确认,patent_earthquake_prediction_device,patent_earthquake_prediction_device_c000,地震风险时空预测,VALIDATED_IN,日本能登半岛地震,0.62,pending_manual_review
ff1f624bc630cb3e,relation,high,案例验证关系直接影响技术成熟度，需要优先人工确认,patent_myshake_warning,patent_myshake_warning_c000,地震早期预警,VALIDATED_IN,ShakeAlert地震预警案例,0.62,pending_manual_review
0d45c06e2ba64f5d,relation,high,案例验证关系直接影响技术成熟度，需要优先人工确认,patent_myshake_warning,patent_myshake_warning_c000,地震证据图谱GraphRAG,VALIDATED_IN,ShakeAlert地震预警案例,0.62,pending_manual_review
7f0e798b74ef4f7a,relation,high,案例验证关系直接影响技术成熟度，需要优先人工确认,patent_predictive_emergency_analytics,patent_predictive_emergency_analytics_c000,地震证据图谱GraphRAG,VALIDATED_IN,海地地震,0.62,pending_manual_review
b2b6ffd2ca7c539a,relation,high,案例验证关系直接影响技术成熟度，需要优先人工确认,patent_predictive_emergency_analytics,patent_predictive_emergency_analytics_c000,地震应急辅助决策,VALIDATED_IN,海地地震,0.62,pending_manual_review
ad00791a23bc0f6c,relation,high,案例验证关系直接影响技术成熟度，需要优先人工确认,patent_structural_damage_predictor,patent_structural_damage_predictor_c000,震后建筑损毁识别,VALIDATED_IN,土耳其叙利亚地震,0.62,pending_manual_review
4bc01b04635043f2,relation,high,案例验证关系直接影响技术成熟度，需要优先人工确认,patent_structural_damage_predictor,patent_structural_damage_predictor_c000,地震证据图谱GraphRAG,VALIDATED_IN,土耳其叙利亚地震,0.62,pending_manual_review
85d14398b76659a0,relation,high,案例验证关系直接影响技术成熟度，需要优先人工确认,patent_tw_earthquake_ai,patent_tw_earthquake_ai_c000,地震早期预警,VALIDATED_IN,ShakeAlert地震预警案例,0.62,pending_manual_review
8b1b11a4c3941b2e,relation,high,案例验证关系直接影响技术成熟度，需要优先人工确认,patent_tw_earthquake_ai,patent_tw_earthquake_ai_c000,地震证据图谱GraphRAG,VALIDATED_IN,ShakeAlert地震预警案例,0.62,pending_manual_review
f38237325945cc82,relation,high,案例验证关系直接影响技术成熟度，需要优先人工确认,patent_tw_earthquake_warning,patent_tw_earthquake_warning_c000,地震早期预警,VALIDATED_IN,ShakeAlert地震预警案例,0.62,pending_manual_review
2e98b471c5dbfe93,relation,high,案例验证关系直接影响技术成熟度，需要优先人工确认,patent_tw_earthquake_warning,patent_tw_earthquake_warning_c000,地震证据图谱GraphRAG,VALIDATED_IN,ShakeAlert地震预警案例,0.62,pending_manual_review
97ee7743eb9af6c5,relation,high,案例验证关系直接影响技术成熟度，需要优先人工确认,policy_ai_governance_response,policy_ai_governance_response_c000,地震证据图谱GraphRAG,VALIDATED_IN,土耳其叙利亚地震,0.62,pending_manual_review
d7e3a4c0f363bfe8,relation,high,案例验证关系直接影响技术成熟度，需要优先人工确认,policy_china_14th_drr_plan,policy_china_14th_drr_plan_c000,地震证据图谱GraphRAG,VALIDATED_IN,摩洛哥地震,0.62,pending_manual_review
bb1fffd8f814e6ee,relation,high,案例验证关系直接影响技术成熟度，需要优先人工确认,policy_china_14th_drr_plan,policy_china_14th_drr_plan_c000,生命线震损风险传播GNN,VALIDATED_IN,摩洛哥地震,0.62,pending_manual_review
223e14abbaf7d33c,relation,high,案例验证关系直接影响技术成熟度，需要优先人工确认,policy_china_earthquake_plan,policy_china_earthquake_plan_c000,地震证据图谱GraphRAG,VALIDATED_IN,海地地震,0.62,pending_manual_review
821e5955aecf6337,relation,high,案例验证关系直接影响技术成熟度，需要优先人工确认,policy_china_earthquake_plan,policy_china_earthquake_plan_c000,地震应急辅助决策,VALIDATED_IN,海地地震,0.62,pending_manual_review
c0d33a9dad17c33c,relation,high,案例验证关系直接影响技术成熟度，需要优先人工确认,policy_fema_nims,policy_fema_nims_c000,震后救援调度优化,VALIDATED_IN,尼泊尔地震,0.62,pending_manual_review
550bddee90eec844,relation,high,案例验证关系直接影响技术成熟度，需要优先人工确认,policy_fema_nims,policy_fema_nims_c000,地震证据图谱GraphRAG,VALIDATED_IN,尼泊尔地震,0.62,pending_manual_review
