relation_id,source,source_name,source_type,target,target_name,target_type,relation_type,doc_id,chunk_id,confidence,evidence_text,expert_status
b31244eb50634a12,tech_multimodal_situation,地震多模态灾情理解,AITech,hazard_earthquake,地震,DisasterType,APPLIES_TO,case_afghanistan_earthquake_2023,case_afghanistan_earthquake_2023_c000,0.72,"# Afghanistan earthquake 2023 disaster case

该灾害案例来源为“Afghanistan earthquake 2023 disaster case”，来源机构或平台为 ReliefWeb。在地震灾害AI防灾减灾关键技术图谱中，该来源被整理为 地震 专题证据，主要支撑 地震多模态灾情理解 技术社区，并服务 震前监测感知 场景。

从可抽取证据看，地震多模态灾情理解 依赖 众源文本，常结合 Transformer，用于完成 灾情态势摘要。该证据可与 阿富汗地震 形成案例验证关系，并受 数据共享与隐私合规 的治理要求约束。

面向 GraphRAG 索引，可形成“地震多模态灾情理解 -> 地震 -> 震前监测感知 -> 灾情态势摘要 -> 众源文本 -> Transform",pending
79f51a5680c1580d,tech_graphrag_evidence,地震证据图谱GraphRAG,AITech,hazard_earthquake,地震,DisasterType,APPLIES_TO,case_afghanistan_earthquake_2023,case_afghanistan_earthquake_2023_c000,0.72,"# Afghanistan earthquake 2023 disaster case

该灾害案例来源为“Afghanistan earthquake 2023 disaster case”，来源机构或平台为 ReliefWeb。在地震灾害AI防灾减灾关键技术图谱中，该来源被整理为 地震 专题证据，主要支撑 地震多模态灾情理解 技术社区，并服务 震前监测感知 场景。

从可抽取证据看，地震多模态灾情理解 依赖 众源文本，常结合 Transformer，用于完成 灾情态势摘要。该证据可与 阿富汗地震 形成案例验证关系，并受 数据共享与隐私合规 的治理要求约束。

面向 GraphRAG 索引，可形成“地震多模态灾情理解 -> 地震 -> 震前监测感知 -> 灾情态势摘要 -> 众源文本 -> Transform",pending
948b8e2695ed3278,tech_multimodal_situation,地震多模态灾情理解,AITech,stage_seismic_monitoring,震前监测感知,Scenario,SERVES_STAGE,case_afghanistan_earthquake_2023,case_afghanistan_earthquake_2023_c000,0.68,"# Afghanistan earthquake 2023 disaster case

该灾害案例来源为“Afghanistan earthquake 2023 disaster case”，来源机构或平台为 ReliefWeb。在地震灾害AI防灾减灾关键技术图谱中，该来源被整理为 地震 专题证据，主要支撑 地震多模态灾情理解 技术社区，并服务 震前监测感知 场景。

从可抽取证据看，地震多模态灾情理解 依赖 众源文本，常结合 Transformer，用于完成 灾情态势摘要。该证据可与 阿富汗地震 形成案例验证关系，并受 数据共享与隐私合规 的治理要求约束。

面向 GraphRAG 索引，可形成“地震多模态灾情理解 -> 地震 -> 震前监测感知 -> 灾情态势摘要 -> 众源文本 -> Transform",pending
2363ef646f2659d6,tech_graphrag_evidence,地震证据图谱GraphRAG,AITech,stage_seismic_monitoring,震前监测感知,Scenario,SERVES_STAGE,case_afghanistan_earthquake_2023,case_afghanistan_earthquake_2023_c000,0.68,"# Afghanistan earthquake 2023 disaster case

该灾害案例来源为“Afghanistan earthquake 2023 disaster case”，来源机构或平台为 ReliefWeb。在地震灾害AI防灾减灾关键技术图谱中，该来源被整理为 地震 专题证据，主要支撑 地震多模态灾情理解 技术社区，并服务 震前监测感知 场景。

从可抽取证据看，地震多模态灾情理解 依赖 众源文本，常结合 Transformer，用于完成 灾情态势摘要。该证据可与 阿富汗地震 形成案例验证关系，并受 数据共享与隐私合规 的治理要求约束。

面向 GraphRAG 索引，可形成“地震多模态灾情理解 -> 地震 -> 震前监测感知 -> 灾情态势摘要 -> 众源文本 -> Transform",pending
32565c0c3b206382,tech_multimodal_situation,地震多模态灾情理解,AITech,task_situation_summary,灾情态势摘要,Task,SOLVES,case_afghanistan_earthquake_2023,case_afghanistan_earthquake_2023_c000,0.7,"# Afghanistan earthquake 2023 disaster case

该灾害案例来源为“Afghanistan earthquake 2023 disaster case”，来源机构或平台为 ReliefWeb。在地震灾害AI防灾减灾关键技术图谱中，该来源被整理为 地震 专题证据，主要支撑 地震多模态灾情理解 技术社区，并服务 震前监测感知 场景。

从可抽取证据看，地震多模态灾情理解 依赖 众源文本，常结合 Transformer，用于完成 灾情态势摘要。该证据可与 阿富汗地震 形成案例验证关系，并受 数据共享与隐私合规 的治理要求约束。

面向 GraphRAG 索引，可形成“地震多模态灾情理解 -> 地震 -> 震前监测感知 -> 灾情态势摘要 -> 众源文本 -> Transform",pending
2584a9f3a3d13d6f,tech_graphrag_evidence,地震证据图谱GraphRAG,AITech,task_situation_summary,灾情态势摘要,Task,SOLVES,case_afghanistan_earthquake_2023,case_afghanistan_earthquake_2023_c000,0.7,"# Afghanistan earthquake 2023 disaster case

该灾害案例来源为“Afghanistan earthquake 2023 disaster case”，来源机构或平台为 ReliefWeb。在地震灾害AI防灾减灾关键技术图谱中，该来源被整理为 地震 专题证据，主要支撑 地震多模态灾情理解 技术社区，并服务 震前监测感知 场景。

从可抽取证据看，地震多模态灾情理解 依赖 众源文本，常结合 Transformer，用于完成 灾情态势摘要。该证据可与 阿富汗地震 形成案例验证关系，并受 数据共享与隐私合规 的治理要求约束。

面向 GraphRAG 索引，可形成“地震多模态灾情理解 -> 地震 -> 震前监测感知 -> 灾情态势摘要 -> 众源文本 -> Transform",pending
2d0adafdcfda8ad5,tech_multimodal_situation,地震多模态灾情理解,AITech,data_social_media,众源文本,Dataset,DEPENDS_ON,case_afghanistan_earthquake_2023,case_afghanistan_earthquake_2023_c000,0.66,"# Afghanistan earthquake 2023 disaster case

该灾害案例来源为“Afghanistan earthquake 2023 disaster case”，来源机构或平台为 ReliefWeb。在地震灾害AI防灾减灾关键技术图谱中，该来源被整理为 地震 专题证据，主要支撑 地震多模态灾情理解 技术社区，并服务 震前监测感知 场景。

从可抽取证据看，地震多模态灾情理解 依赖 众源文本，常结合 Transformer，用于完成 灾情态势摘要。该证据可与 阿富汗地震 形成案例验证关系，并受 数据共享与隐私合规 的治理要求约束。

面向 GraphRAG 索引，可形成“地震多模态灾情理解 -> 地震 -> 震前监测感知 -> 灾情态势摘要 -> 众源文本 -> Transform",pending
85eee34f6a10b505,tech_graphrag_evidence,地震证据图谱GraphRAG,AITech,data_social_media,众源文本,Dataset,DEPENDS_ON,case_afghanistan_earthquake_2023,case_afghanistan_earthquake_2023_c000,0.66,"# Afghanistan earthquake 2023 disaster case

该灾害案例来源为“Afghanistan earthquake 2023 disaster case”，来源机构或平台为 ReliefWeb。在地震灾害AI防灾减灾关键技术图谱中，该来源被整理为 地震 专题证据，主要支撑 地震多模态灾情理解 技术社区，并服务 震前监测感知 场景。

从可抽取证据看，地震多模态灾情理解 依赖 众源文本，常结合 Transformer，用于完成 灾情态势摘要。该证据可与 阿富汗地震 形成案例验证关系，并受 数据共享与隐私合规 的治理要求约束。

面向 GraphRAG 索引，可形成“地震多模态灾情理解 -> 地震 -> 震前监测感知 -> 灾情态势摘要 -> 众源文本 -> Transform",pending
b396f05da10bcabc,tech_multimodal_situation,地震多模态灾情理解,AITech,model_transformer,Transformer,Model,USES_MODEL,case_afghanistan_earthquake_2023,case_afghanistan_earthquake_2023_c000,0.64,"# Afghanistan earthquake 2023 disaster case

该灾害案例来源为“Afghanistan earthquake 2023 disaster case”，来源机构或平台为 ReliefWeb。在地震灾害AI防灾减灾关键技术图谱中，该来源被整理为 地震 专题证据，主要支撑 地震多模态灾情理解 技术社区，并服务 震前监测感知 场景。

从可抽取证据看，地震多模态灾情理解 依赖 众源文本，常结合 Transformer，用于完成 灾情态势摘要。该证据可与 阿富汗地震 形成案例验证关系，并受 数据共享与隐私合规 的治理要求约束。

面向 GraphRAG 索引，可形成“地震多模态灾情理解 -> 地震 -> 震前监测感知 -> 灾情态势摘要 -> 众源文本 -> Transform",pending
22a9e9958aad317e,tech_graphrag_evidence,地震证据图谱GraphRAG,AITech,model_transformer,Transformer,Model,USES_MODEL,case_afghanistan_earthquake_2023,case_afghanistan_earthquake_2023_c000,0.64,"# Afghanistan earthquake 2023 disaster case

该灾害案例来源为“Afghanistan earthquake 2023 disaster case”，来源机构或平台为 ReliefWeb。在地震灾害AI防灾减灾关键技术图谱中，该来源被整理为 地震 专题证据，主要支撑 地震多模态灾情理解 技术社区，并服务 震前监测感知 场景。

从可抽取证据看，地震多模态灾情理解 依赖 众源文本，常结合 Transformer，用于完成 灾情态势摘要。该证据可与 阿富汗地震 形成案例验证关系，并受 数据共享与隐私合规 的治理要求约束。

面向 GraphRAG 索引，可形成“地震多模态灾情理解 -> 地震 -> 震前监测感知 -> 灾情态势摘要 -> 众源文本 -> Transform",pending
