claim_id,relation_id,claim_text,doc_id,chunk_id,evidence_text,confidence,expert_status,source_file
CLM_EQ_000001,REL_EQ_000001,地震早期预警 SERVES_STAGE（服务阶段） 震时预警,EQ_DOC_007,CHK_EQ_000019,"## 七、 分布式AI地震预警系统、边缘计算与众包传感器网络 传统的地震早期预警系统（EEW）虽然在减轻次生灾害方面发挥了巨大作用，但在处理超大规模传感器数据流（如来自数以万计众包手机或极高密度的窄带无线传感网络 WSN）时，仍然面临系统算力和Telemetry延迟的瓶颈 [69, 70, 71]。在极短响应时窗下，为了避免中央服务器出现灾难性的网络拥堵或单点物理瘫...",0.6,待复核,地震灾害数据收集与整理.docx
CLM_EQ_000002,REL_EQ_000002,地震早期预警 SOLVES（解决任务） 地震监测预警,EQ_DOC_007,CHK_EQ_000019,"## 七、 分布式AI地震预警系统、边缘计算与众包传感器网络 传统的地震早期预警系统（EEW）虽然在减轻次生灾害方面发挥了巨大作用，但在处理超大规模传感器数据流（如来自数以万计众包手机或极高密度的窄带无线传感网络 WSN）时，仍然面临系统算力和Telemetry延迟的瓶颈 [69, 70, 71]。在极短响应时窗下，为了避免中央服务器出现灾难性的网络拥堵或单点物理瘫...",0.6,待复核,地震灾害数据收集与整理.docx
CLM_EQ_000003,REL_EQ_000003,地震早期预警 DEPENDS_ON（依赖数据） 台站波形数据,EQ_DOC_007,CHK_EQ_000019,"## 七、 分布式AI地震预警系统、边缘计算与众包传感器网络 传统的地震早期预警系统（EEW）虽然在减轻次生灾害方面发挥了巨大作用，但在处理超大规模传感器数据流（如来自数以万计众包手机或极高密度的窄带无线传感网络 WSN）时，仍然面临系统算力和Telemetry延迟的瓶颈 [69, 70, 71]。在极短响应时窗下，为了避免中央服务器出现灾难性的网络拥堵或单点物理瘫...",0.6,待复核,地震灾害数据收集与整理.docx
CLM_EQ_000004,REL_EQ_000004,分布式AI地震预警 SOLVES（解决任务） 地震监测预警,EQ_DOC_007,CHK_EQ_000019,"## 七、 分布式AI地震预警系统、边缘计算与众包传感器网络 传统的地震早期预警系统（EEW）虽然在减轻次生灾害方面发挥了巨大作用，但在处理超大规模传感器数据流（如来自数以万计众包手机或极高密度的窄带无线传感网络 WSN）时，仍然面临系统算力和Telemetry延迟的瓶颈 [69, 70, 71]。在极短响应时...",0.6,待复核,地震灾害数据收集与整理.docx
CLM_EQ_000005,REL_EQ_000005,分布式AI地震预警 SERVES_STAGE（服务阶段） 震时预警,EQ_DOC_007,CHK_EQ_000019,"## 七、 分布式AI地震预警系统、边缘计算与众包传感器网络 传统的地震早期预警系统（EEW）虽然在减轻次生灾害方面发挥了巨大作用，但在处理超大规模传感器数据流（如来自数以万计众包手机或极高密度的窄带无线传感网络 WSN）时，仍然面临系统算力和Telemetry延迟的瓶颈 [69, 70, 71]。在极短响应时...",0.6,待复核,地震灾害数据收集与整理.docx
CLM_EQ_000006,REL_EQ_000006,分布式AI地震预警 USES_MODEL（采用模型） Edge-AI CNN,EQ_DOC_007,CHK_EQ_000019,"## 七、 分布式AI地震预警系统、边缘计算与众包传感器网络 传统的地震早期预警系统（EEW）虽然在减轻次生灾害方面发挥了巨大作用，但在处理超大规模传感器数据流（如来自数以万计众包手机或极高密度的窄带无线传感网络 WSN）时，仍然面临系统算力和Telemetry延迟的瓶颈 [69, 70, 71]。在极短响应时...",0.6,待复核,地震灾害数据收集与整理.docx
CLM_EQ_000007,REL_EQ_000007,分布式AI地震预警 USES_MODEL（采用模型） PhaseNet,EQ_DOC_007,CHK_EQ_000019,"## 七、 分布式AI地震预警系统、边缘计算与众包传感器网络 传统的地震早期预警系统（EEW）虽然在减轻次生灾害方面发挥了巨大作用，但在处理超大规模传感器数据流（如来自数以万计众包手机或极高密度的窄带无线传感网络 WSN）时，仍然面临系统算力和Telemetry延迟的瓶颈 [69, 70, 71]。在极短响应时...",0.6,待复核,地震灾害数据收集与整理.docx
CLM_EQ_000008,REL_EQ_000008,分布式AI地震预警 USES_MODEL（采用模型） EQTransformer,EQ_DOC_007,CHK_EQ_000019,"## 七、 分布式AI地震预警系统、边缘计算与众包传感器网络 传统的地震早期预警系统（EEW）虽然在减轻次生灾害方面发挥了巨大作用，但在处理超大规模传感器数据流（如来自数以万计众包手机或极高密度的窄带无线传感网络 WSN）时，仍然面临系统算力和Telemetry延迟的瓶颈 [69, 70, 71]。在极短响应时...",0.6,待复核,地震灾害数据收集与整理.docx
CLM_EQ_000009,REL_EQ_000009,分布式AI地震预警 USES_MODEL（采用模型） QuakeWake,EQ_DOC_007,CHK_EQ_000019,"## 七、 分布式AI地震预警系统、边缘计算与众包传感器网络 传统的地震早期预警系统（EEW）虽然在减轻次生灾害方面发挥了巨大作用，但在处理超大规模传感器数据流（如来自数以万计众包手机或极高密度的窄带无线传感网络 WSN）时，仍然面临系统算力和Telemetry延迟的瓶颈 [69, 70, 71]。在极短响应时...",0.6,待复核,地震灾害数据收集与整理.docx
CLM_EQ_000010,REL_EQ_000010,分布式AI地震预警 USES_MODEL（采用模型） E3WS,EQ_DOC_007,CHK_EQ_000019,"## 七、 分布式AI地震预警系统、边缘计算与众包传感器网络 传统的地震早期预警系统（EEW）虽然在减轻次生灾害方面发挥了巨大作用，但在处理超大规模传感器数据流（如来自数以万计众包手机或极高密度的窄带无线传感网络 WSN）时，仍然面临系统算力和Telemetry延迟的瓶颈 [69, 70, 71]。在极短响应时...",0.6,待复核,地震灾害数据收集与整理.docx
